"GeoFips","GeoName","2008","2009","2010","2011","2012","2013","2014"
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",46069,43880,44058,44938,45725,45094,46249
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",39987,37894,38964,39994,39514,39868,41380
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",45051,41650,42615,44292,43646,43981,44694
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",44387,44107,44094,45103,45428,44749,46012
"36100","Ocala, FL (Metropolitan Statistical Area)",32126,31205,32018,32945,32646,32245,33026
"36140","Ocean City, NJ (Metropolitan Statistical Area)",39485,40831,40933,42201,43134,43098,44463
"36220","Odessa, TX (Metropolitan Statistical Area)",38913,34752,36643,40910,44412,42717,44859
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",36139,34238,33359,34008,34763,34827,35349
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",44986,40969,41706,44102,45447,45502,46466
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",38809,37441,37229,37110,37158,36569,37555
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",47458,45554,45329,46041,47835,47046,47759
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",34955,33009,33937,34664,34467,34160,34915
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",39406,38975,39463,40442,40437,39736,40617
"36980","Owensboro, KY (Metropolitan Statistical Area)",39409,38673,38548,40038,40279,40588,41220
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",40549,38189,37514,38491,39728,39495,40458
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",37280,36599,37202,38226,37390,37207,37568
"37460","Panama City, FL (Metropolitan Statistical Area)",36733,35509,36855,37308,36030,35550,36459
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",36424,36056,35502,36742,38202,37805,39217
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",36431,35892,36427,36799,36331,35640,36405
